departure_stationID,covered_distance,speed,DTC_ALL,duration,DUC_ALL,station,DUC_weekday,DTC_weekday,DUC_weekend,DTC_weekend,DUC_weekdayMor,DTC_weekdayMor,DUC_weekdayAft,DTC_weekdayAft,return_station1,RUC_ALL,RTC_ALL,RUC_weekday,RTC_weekday,RUC_weekend,RTC_weekend,RUC_weekdayMor,RTC_weekdayMor,RUC_weekdayAft,RTC_weekdayAft
1,2483.0,9.728271728271727,15537,941.0,6051,Kaivopuisto,3916,9636,3219,5901,254,978,1103,2235,1,6562,16862,4288,10536,3493,6326,240,617,1720,3237
2,1785.0,10.810986393296751,9120,641.0,2901,Laivasillankatu,1971,6779,1368,2341,260,1433,528,1615,2,2804,9000,2005,6663,1272,2337,251,1421,854,1760
3,1721.0,10.761290322580647,11353,602.0,2738,Kapteeninpuistikko,2061,8425,1331,2928,402,2275,781,1763,3,2793,11106,2219,8259,1262,2847,213,551,968,2728
4,1374.0,10.280280561122245,15108,508.0,4324,Viiskulma,3377,11233,1968,3875,572,1866,1212,2587,4,4110,14434,3288,10642,1775,3792,457,1101,1324,2943
5,1727.0,10.99430284857571,23651,593.0,4360,SepÃ¤nkatu,3422,18969,1907,4682,729,4789,1261,4983,5,4599,23448,3725,18624,1935,4824,744,4685,1585,4479
6,1460.0,9.68877551020408,26761,565.0,7966,Hietalahdentori,6069,19739,3549,7022,776,3113,2078,5356,6,7914,26843,6057,19765,3551,7078,779,3823,2313,4782
7,1219.0,10.31109593134953,10428,494.5,3345,Designmuseo,2690,8200,1263,2228,445,1626,934,1948,7,3529,10073,2828,7882,1233,2191,541,1651,994,1859
8,1415.0,10.169072164948458,17191,542.0,5972,Vanha kirkkopuisto,4605,13337,2407,3854,660,1910,1620,4003,8,5967,17230,4701,13418,2242,3812,863,3902,1755,2819
9,1560.0,9.858923894497757,22714,609.0,7773,Erottaja,6060,16895,3420,5819,490,1017,2691,6344,9,8315,24364,6622,18548,3407,5816,1263,5030,2692,4301
10,1406.0,9.934936580235139,9550,566.0,2751,Kasarmitori,2163,7946,930,1604,293,1000,838,2867,10,2918,9985,2378,8377,934,1608,595,3273,782,1440
11,1784.0,9.091542204714457,19238,735.0,6974,Unioninkatu,5020,13684,2992,5554,333,569,1893,5375,11,8324,23729,6174,17456,3385,6273,1270,5782,2235,3637
12,1919.0,9.660214337275804,14040,739.5,5133,Kanavaranta,3627,9677,2317,4363,242,1092,1018,2502,12,5464,14889,3896,10302,2413,4587,576,2097,1296,2414
13,2346.0,11.376190476190475,5269,789.0,880,Merisotilaantori,655,3905,442,1364,149,897,257,923,13,1002,5583,759,4108,501,1475,126,659,326,1045
14,1666.0,9.149439694918964,10612,694.0,4652,Senaatintori,3301,7567,1870,3045,198,317,1126,2676,14,4651,11064,3345,8010,1820,3054,679,2482,1016,1550
15,1451.0,10.478233438485805,8785,543.0,1778,Ritarikatu,1413,7130,677,1655,281,1823,530,1743,15,1779,8694,1462,6931,659,1763,396,1880,524,1496
16,1807.0,10.522139347139348,13610,670.0,3608,Liisanpuistikko,2567,9592,1802,4018,365,2120,854,1994,16,3757,14026,2723,9913,1834,4113,327,1107,1106,2687
17,1545.0,10.31797576223239,15706,584.0,5473,Varsapuistikko,4479,12586,1969,3120,591,1822,1788,3846,17,4905,14737,3970,11725,1786,3012,844,2971,1438,2490
18,1478.0,9.82857142857143,18307,566.0,6458,Porthania,5335,14616,2239,3691,504,1650,2485,5090,18,6427,18828,5322,15176,2207,3652,1092,3575,2207,3872
19,1823.0,10.529153605015674,25663,627.0,9127,Rautatientori / itÃ¤,7231,19208,3953,6455,839,3178,2762,5465,19,8846,26036,7027,19579,3742,6457,1150,3983,3012,5820
20,1484.0,10.8,18281,514.0,5552,Kaisaniemenpuisto,4390,14712,2228,3569,739,4217,1648,3726,20,5307,18439,4188,15072,2104,3367,757,3293,1864,5714
21,1703.0,11.738426966292137,35667,529.0,8837,TÃ¶Ã¶lÃ¶nlahdenkatu,7247,29762,3572,5905,1228,8667,3132,8989,21,9163,36499,7612,30777,3532,5722,1612,8384,3491,10588
22,1911.0,10.658199356913183,27561,641.0,10022,Rautatientori / lÃ¤nsi,8087,20626,4245,6935,1092,3266,3356,5873,22,10126,28400,8226,21340,4201,7060,1444,3753,3552,6440
23,1966.0,10.65759606076402,16466,663.0,6960,Kiasma,5441,12248,2756,4218,628,1522,2351,4280,23,6809,16591,5449,12485,2622,4106,795,2294,2502,4041
24,1686.0,9.845919957432251,15746,622.0,6624,Mannerheimintie,5188,11578,2631,4168,364,706,2207,3988,24,6326,16021,5044,11923,2450,4098,733,2293,2122,3396
25,1843.0,10.17841726618705,19835,679.0,7709,Narinkka,6192,15260,2939,4575,641,2058,2412,4566,25,7211,20129,5888,15641,2751,4488,879,2893,2518,4741
26,1408.0,10.65582503037667,36778,484.0,10472,Kampin metroasema,8764,28614,4554,8164,1462,4735,3789,7960,26,10606,35585,8846,27585,4443,8000,1681,5342,4034,7668
27,1374.0,10.287417218543046,8161,498.0,3406,Eerikinkatu,2700,6478,1134,1683,273,772,988,1984,27,3332,8031,2692,6398,1042,1633,511,1580,942,1432
28,1268.0,10.638805970149257,10367,456.0,3573,Lastenlehto,2962,8326,1269,2041,537,1733,1128,2159,28,2649,8995,2180,7143,995,1852,416,1537,889,1830
29,1449.0,11.924057257088235,20238,454.0,5131,Baana,4102,16474,2092,3764,812,3640,1526,4711,29,4702,20396,3746,16544,1911,3852,787,5601,1410,3424
30,1890.0,11.441963855421687,34530,563.0,8450,ItÃ¤merentori,6832,27509,3712,7021,1245,5293,3027,8984,30,8353,34996,6860,27858,3608,7138,1639,8469,2993,6785
31,1443.0,11.754606741573033,14749,486.0,3060,Marian Sairaala,2376,11499,1340,3250,406,2455,964,2991,31,2830,14467,2321,11188,1142,3279,460,2181,964,2835
32,1347.0,10.470458952811892,9272,479.0,3328,ElÃ¤inmuseo,2672,7324,1204,1948,406,1425,977,1872,32,2911,8467,2311,6650,1036,1817,399,1389,908,1664
33,1253.0,10.716,18805,433.0,4912,Kauppakorkeakoulu,4095,15353,1876,3452,738,2744,1667,3683,33,4057,18088,3480,14728,1504,3360,708,2706,1463,3670
34,1455.0,10.22818384005403,8224,533.0,3187,Kansallismuseo,2482,6299,1168,1925,350,1016,707,1518,34,2911,7988,2256,6105,1091,1883,313,1202,851,1489
36,1694.0,10.891719745222929,16853,587.0,4216,Apollonkatu,3360,12667,1889,4186,654,2739,1249,3083,36,3915,17019,3175,12818,1753,4201,417,1288,1439,4098
37,1558.0,10.724581005586591,13249,554.0,3864,TÃ¶Ã¶lÃ¶nkatu,3070,9995,1563,3254,586,1969,1053,2375,37,3348,12933,2679,9698,1412,3235,379,943,1197,3013
38,1752.0,11.06808510638298,10537,603.0,3066,TÃ¶Ã¶lÃ¶ntori,2405,7912,1266,2625,436,1736,827,1799,38,3246,10170,2579,7563,1278,2607,361,859,1015,2139
39,1880.0,11.08979963278678,19806,628.5,7124,Ooppera,5599,14910,2926,4896,876,2911,1835,3574,39,6630,19576,5196,14662,2738,4914,698,2051,2150,4605
40,1799.0,10.2996138996139,17619,666.0,5987,Hakaniemen metroasema,4410,12791,2692,4828,623,1996,1482,3492,40,6232,18200,4705,13343,2661,4857,613,2359,1905,3548
41,1886.0,10.912685643564355,26180,660.0,7615,YmpyrÃ¤talo,5815,19176,3651,7004,1047,4317,2131,4638,41,7740,27027,6180,20187,3513,6840,806,2550,2788,6300
42,1990.0,11.09639941774175,9898,688.0,3696,Haapaniemenkatu,2673,7213,1712,2685,339,1272,855,1734,42,3382,9703,2578,7204,1473,2499,259,755,912,1998
43,1960.0,11.392749244712991,9183,624.0,3315,Karhupuisto,2521,6648,1546,2535,338,1015,821,1432,43,2945,7290,2164,5110,1357,2180,156,278,757,1425
44,1925.0,11.517757009345793,27879,583.0,7707,SÃ¶rnÃ¤isten metroasema,6045,20533,3963,7346,820,3090,2422,5305,44,7402,26299,5842,19332,3693,6967,683,2417,2461,5555
45,2031.0,11.639597315436239,15657,636.0,5505,Brahen kenttÃ¤,4245,11649,2502,4008,662,1832,1370,2903,45,4646,13593,3618,9978,2035,3615,350,949,1386,2865
46,1933.0,11.73375,9916,611.0,4224,Diakoniapuisto,2988,6851,1955,3065,384,1180,966,1626,46,3861,9820,2688,6773,1776,3047,246,640,1019,1966
47,1964.0,9.053971608832809,13082,806.0,5376,Kauppatori,3791,8862,2286,4220,252,609,1198,2607,47,5623,14017,3965,9553,2462,4464,641,1666,1394,2367
48,2062.0,10.019541984732825,6653,757.0,1801,Mastokatu,1290,4704,781,1949,143,921,429,1149,48,2002,7087,1502,5107,780,1980,334,1097,467,1226
50,3013.5,13.091608391608393,4410,938.5,1061,Melkonkuja,731,3135,596,1275,152,899,251,623,50,1242,4424,877,3127,642,1297,68,234,382,962
51,2793.0,12.332394366197185,4163,942.0,996,ItÃ¤lahdenkatu,739,3004,506,1159,170,836,271,648,51,935,4156,716,2993,488,1163,92,314,285,804
52,2421.0,12.142358339162996,6022,784.0,1539,HeikkilÃ¤naukio,1164,4536,746,1486,203,896,464,1389,52,1656,6438,1317,4795,784,1643,214,843,549,1320
53,2940.0,12.458166776058098,7658,858.5,2029,HeikkilÃ¤ntie,1553,5833,918,1825,292,1258,589,1641,53,2028,7945,1570,6097,916,1848,263,1330,682,1773
54,3389.0,12.44152823920266,4035,975.0,1098,Gyldenintie,806,2826,586,1209,206,811,252,481,54,1040,4120,779,2905,566,1215,49,160,348,820
55,3022.0,11.984737678855323,3715,949.0,1430,Lahnalahdentie,1014,2482,675,1233,124,378,331,573,55,1450,3741,1063,2564,654,1177,66,186,454,856
56,3328.0,12.513987888414572,3956,1056.5,1064,LuoteisvÃ¤ylÃ¤,712,2676,581,1280,116,623,210,506,56,1098,3988,744,2701,584,1287,58,137,285,731
57,2766.0,12.457707509881425,9671,787.0,2365,Lauttasaaren ostoskeskus,1870,7043,1179,2628,410,1685,678,1379,57,2424,9491,1927,6844,1194,2647,212,427,890,2121
58,2452.0,11.920909090909092,8427,763.0,2181,Lauttasaarensilta,1652,6013,1073,2414,373,1827,580,1200,58,2005,8619,1527,6127,1019,2492,163,396,709,2109
60,2115.0,11.621134020618555,16533,634.0,4436,Porkkalankatu,3519,13699,1658,2834,461,1376,1610,5901,60,4282,17666,3424,14791,1550,2875,1033,6782,1234,2394
61,2107.0,11.740408163265304,10043,641.0,1730,LÃ¤nsisatamankatu,1356,7431,883,2612,316,2101,613,1599,61,1571,9993,1233,7223,862,2770,207,604,585,2224
62,1970.0,11.22181818181818,9167,611.0,2325,MessitytÃ¶nkatu,1906,6855,993,2312,364,1478,821,1722,62,1826,8875,1462,6509,922,2366,169,460,613,1934
63,1670.0,11.001506115095838,18794,535.0,5058,JÃ¤tkÃ¤saarenlaituri,3914,13580,2324,5214,554,2464,1607,3658,63,4578,18446,3578,13277,2064,5169,487,1148,1515,4217
64,1948.0,11.52,18323,594.0,5153,Tyynenmerenkatu,3924,13867,2193,4456,416,2369,1495,3735,64,5309,18928,4170,14272,2156,4656,612,2048,1726,3702
65,2287.0,9.932856291976952,16320,885.5,5891,HylkeenpyytÃ¤jÃ¤nkatu,3900,10657,2929,5663,216,739,1116,3311,65,6485,18157,4488,12161,3113,5996,394,1988,1729,3156
66,2327.0,8.915436241610738,6841,996.0,3150,EhrenstrÃ¶mintie,1796,3949,1628,2892,56,141,487,991,66,3151,6971,1865,4103,1589,2868,117,434,674,1181
68,1415.0,10.315862068965517,15585,513.0,3446,Albertinkatu,2740,11623,1579,3962,496,2381,1018,2511,68,3398,15402,2720,11485,1560,3917,387,972,1200,3440
69,1198.0,10.485611214681741,11794,426.0,3853,Kalevankatu,3170,9363,1413,2431,482,1520,1044,2297,69,3328,11474,2801,9098,1149,2376,447,1890,1057,2030
70,1504.0,11.0112,12089,522.0,3168,Sammonpuistikko,2473,9071,1379,3018,421,1429,922,2162,70,2626,11571,2120,8601,1124,2970,246,725,902,2390
71,2046.0,9.980946331345606,5832,828.0,2878,Hietaniemenkatu,1867,3724,1369,2108,110,307,574,902,71,2840,5841,1806,3707,1385,2134,91,179,683,1270
72,2125.0,10.54708073800738,10532,760.0,3859,EtelÃ¤inen Hesperiankatu,2776,7351,1804,3181,347,1514,894,1739,72,4096,11153,2996,7857,1885,3296,263,840,1293,2596
73,2434.0,10.032827586206896,8185,879.0,3380,KesÃ¤katu,2258,5580,1502,2605,159,483,708,1747,73,3436,8311,2325,5693,1514,2618,210,1184,893,1466
74,2564.0,10.804275534441805,7329,854.0,2881,Rajasaarentie,2072,5070,1256,2259,205,835,689,1305,74,2784,7311,1984,5073,1266,2238,184,470,776,1483
75,2128.0,11.017379679144385,17504,699.0,4549,Korjaamo,3602,12941,2008,4563,533,2773,1405,3093,75,4311,17537,3414,12925,1970,4612,478,1180,1582,3985
76,1988.0,11.094339622641508,13447,650.0,4427,Olympiastadion,3408,9967,1929,3480,545,2081,1150,2206,76,4144,13721,3209,10129,1824,3592,444,1068,1427,3252
78,2317.0,11.145548815165878,13410,729.0,4072,Messeniuksenkatu,3190,9826,1776,3584,550,2194,1198,2420,78,3490,13263,2770,9635,1616,3628,316,829,1077,2692
79,2146.0,11.053521126760565,8903,703.0,3449,Uimastadion,2697,6464,1446,2439,425,1082,1005,1604,79,3220,8634,2547,6229,1362,2405,470,838,1115,1919
80,2223.0,11.387679671457903,8831,677.0,3182,JÃ¤Ã¤halli,2392,6408,1422,2423,415,1573,914,1663,80,2903,8802,2155,6319,1374,2483,264,583,951,2381
81,2650.0,11.676979154646592,6268,815.0,2031,StenbÃ¤ckinkatu,1712,5192,625,1076,371,1326,583,1319,81,1703,5962,1412,4926,566,1036,413,1632,455,947
82,2395.0,11.181176470588236,9441,756.0,3035,TÃ¶Ã¶lÃ¶ntulli,2413,7144,1253,2297,396,1456,890,1749,82,2619,9188,2050,6891,1136,2297,324,1024,828,2025
83,2352.0,11.52991583779648,9493,776.0,2458,Meilahden sairaala,2150,8160,743,1333,477,1315,782,2394,83,1999,9132,1715,7876,658,1256,616,3584,477,780
85,2393.0,11.754748132541657,6948,792.0,1852,Jalavatie,1480,5187,837,1761,319,1258,608,1233,85,1472,6581,1192,4872,683,1709,179,451,487,1371
86,2654.0,11.9390625,8811,846.0,2110,Kuusitie,1702,6506,986,2305,417,1864,725,1497,86,1809,8172,1468,5992,872,2180,178,384,659,1830
88,2416.0,12.183031222675478,2806,797.0,807,Kiskontie,635,2132,334,674,189,554,241,539,88,682,2729,547,2082,281,647,108,459,219,538
89,1966.0,11.262793572311494,9243,692.0,1974,Tilkanvierto,1586,7029,968,2214,367,1938,703,1702,89,1985,9457,1598,7058,983,2399,211,819,805,2398
90,2098.0,11.007263715081237,2658,738.5,1246,Paciuksenkaari,937,1988,464,670,108,222,337,632,90,1240,2702,929,1975,502,727,148,434,318,450
91,2797.0,10.215722738799665,5109,1094.0,2557,Seurasaari,1532,2890,1335,2219,29,40,415,828,91,2440,5044,1475,2822,1265,2222,70,204,455,665
92,3399.0,11.226833371549944,2220,1126.5,1054,Saunalahdentie,675,1475,499,745,68,226,194,324,92,1059,2379,689,1640,500,739,68,169,228,438
93,2570.0,10.393640699523052,2455,978.0,1201,Torpanranta,759,1509,616,946,46,168,202,353,93,1229,2718,803,1700,610,1018,37,90,268,456
94,1794.0,10.846875,6421,669.0,1781,Laajalahden aukio,1350,4666,890,1755,179,803,550,1257,94,1946,7623,1515,5651,973,1972,248,1048,679,1463
95,2221.0,11.102727272727272,7307,811.0,2019,Munkkiniemen aukio,1582,5374,922,1933,297,1300,597,1152,95,2085,7721,1643,5663,962,2058,282,795,727,1730
96,1733.0,11.336116910229645,3599,652.0,802,Huopalahdentie,643,2811,322,788,162,877,237,578,96,745,3882,609,3009,318,873,78,194,289,1102
97,1464.0,10.740533672172806,1981,482.0,614,Professorintie,518,1655,198,326,107,278,190,504,97,568,1961,487,1616,182,345,109,616,149,246
98,943.0,12.937499999999998,2633,283.0,402,Ulvilantie,346,1983,227,650,123,701,154,425,98,417,2391,340,1733,236,658,36,72,170,526
99,2129.0,12.849344262295078,2155,669.0,402,Muusantori,296,1517,223,638,76,409,121,277,99,433,2555,329,1796,237,759,31,66,162,557
100,1330.0,11.91590569292697,2488,496.0,514,Ulvilanpuisto,404,1949,264,539,135,737,155,335,100,471,2417,404,1883,226,534,46,239,210,578
